book_id,genres
1450,"['fantasy', 'fiction', 'mystery', 'paranormal']"
4373,"['romance', 'sports', 'contemporary', 'fiction', 'chick-lit']"
419,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
2356,"['young-adult', 'paranormal', 'romance', 'fantasy', 'science-fiction']"
2256,"['christian', 'nonfiction', 'religion', 'spirituality']"
1891,"['fantasy', 'paranormal', 'romance', 'fiction']"
391,"['fiction', 'classics', 'poetry', 'fantasy', 'young-adult']"
1513,"['paranormal', 'romance', 'fantasy', 'fiction']"
183,"['fantasy', 'young-adult', 'paranormal', 'romance', 'historical-fiction', 'fiction']"
278,"['poetry', 'classics', 'fiction', 'young-adult']"
214,"['fantasy', 'young-adult', 'fiction']"
358,"['fiction', 'classics', 'poetry', 'fantasy', 'young-adult']"
1773,"['romance', 'contemporary', 'music', 'chick-lit', 'young-adult']"
2001,"['nonfiction', 'art']"
490,"['graphic-novels', 'comics', 'history', 'nonfiction', 'memoir', 'historical-fiction', 'biography', 'fiction', 'classics', 'young-adult', 'art', 'religion']"
459,"['fiction', 'contemporary']"
3885,"['nonfiction', 'memoir', 'biography']"
1275,"['historical-fiction', 'romance', 'fiction', 'fantasy']"
2998,"['fantasy', 'paranormal', 'romance']"
1363,"['fantasy', 'fiction', 'mystery', 'paranormal']"
1995,"['fantasy', 'fiction']"
2106,"['romance', 'contemporary', 'fiction']"
3554,"['romance', 'sports', 'contemporary', 'fiction', 'chick-lit']"
1394,"['fantasy', 'fiction', 'mystery', 'paranormal']"
1321,"['manga', 'fantasy', 'comics', 'graphic-novels', 'fiction', 'young-adult']"
2795,"['romance', 'contemporary', 'fiction']"
1890,"['young-adult', 'fantasy', 'paranormal', 'romance']"
1313,"['history', 'nonfiction', 'biography']"
2613,['nonfiction']
1002,"['young-adult', 'romance', 'science-fiction', 'fantasy', 'fiction']"
444,"['classics', 'fiction', 'fantasy', 'young-adult']"
1895,"['graphic-novels', 'comics', 'fantasy', 'fiction', 'horror']"
3491,"['nonfiction', 'memoir', 'history', 'biography']"
539,"['romance', 'young-adult', 'contemporary', 'fiction', 'chick-lit']"
334,"['romance', 'contemporary', 'fiction', 'chick-lit']"
565,"['fantasy', 'fiction', 'young-adult']"
1451,"['graphic-novels', 'comics', 'horror', 'fiction', 'fantasy']"
2209,"['classics', 'poetry', 'fiction', 'historical-fiction']"
1905,"['fantasy', 'fiction']"
983,"['nonfiction', 'memoir', 'history', 'biography']"
1419,"['horror', 'graphic-novels', 'comics', 'fiction', 'fantasy', 'science-fiction', 'thriller']"
840,"['historical-fiction', 'fiction', 'classics']"
3660,"['graphic-novels', 'comics', 'fantasy', 'fiction', 'horror']"
17,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
889,"['romance', 'paranormal', 'fantasy', 'fiction', 'contemporary', 'suspense', 'horror']"
810,"['manga', 'romance', 'graphic-novels', 'young-adult', 'comics', 'fiction']"
735,"['comics', 'graphic-novels', 'fiction', 'crime', 'fantasy']"
143,"['historical-fiction', 'fiction']"
6361,"['comics', 'fiction', 'graphic-novels']"
2971,"['fantasy', 'paranormal', 'romance', 'fiction']"
608,"['fiction', 'classics']"
1760,"['fantasy', 'young-adult', 'fiction']"
1483,"['paranormal', 'romance', 'fantasy', 'fiction']"
5207,"['comics', 'fiction', 'graphic-novels']"
1609,"['young-adult', 'fantasy', 'romance', 'paranormal', 'fiction']"
2877,"['classics', 'fiction', 'poetry', 'fantasy', 'young-adult']"
70,"['science-fiction', 'fiction', 'young-adult', 'fantasy', 'classics']"
1355,"['young-adult', 'fantasy', 'fiction', 'science-fiction', 'romance']"
188,"['fantasy', 'fiction']"
3736,"['fantasy', 'nonfiction', 'young-adult', 'art', 'fiction', 'books']"
3266,"['manga', 'fantasy', 'comics', 'graphic-novels', 'fiction']"
863,"['fiction', 'classics']"
987,"['fantasy', 'young-adult', 'fiction', 'horror', 'contemporary', 'paranormal', 'graphic-novels', 'mystery', 'books']"
87,"['nonfiction', 'classics', 'history', 'memoir', 'biography']"
215,"['science-fiction', 'fiction', 'young-adult', 'fantasy']"
1223,"['science-fiction', 'fiction', 'classics', 'fantasy']"
3230,"['fiction', 'chick-lit', 'romance', 'contemporary']"
1510,"['manga', 'fantasy', 'graphic-novels', 'comics', 'young-adult', 'fiction']"
2040,"['romance', 'young-adult', 'contemporary', 'fiction', 'chick-lit']"
472,"['nonfiction', 'psychology', 'philosophy', 'history', 'memoir', 'self-help', 'biography', 'classics', 'spirituality']"
4849,"['paranormal', 'romance', 'fantasy']"
50,"['poetry', 'classics', 'fiction', 'young-adult', 'fantasy']"
1036,"['romance', 'contemporary', 'music', 'young-adult', 'chick-lit']"
712,"['historical-fiction', 'romance', 'fantasy', 'fiction', 'history', 'science-fiction', 'chick-lit', 'paranormal', 'travel', 'contemporary']"
6590,"['comics', 'graphic-novels', 'fiction', 'classics']"
835,"['manga', 'fantasy', 'comics', 'graphic-novels', 'young-adult', 'fiction']"
3191,"['graphic-novels', 'comics', 'fantasy', 'science-fiction', 'fiction', 'romance']"
2160,"['fantasy', 'fiction']"
2527,"['fantasy', 'fiction', 'science-fiction']"
1962,"['fantasy', 'paranormal', 'romance', 'fiction']"
1192,"['historical-fiction', 'young-adult', 'fiction', 'romance']"
2222,"['christian', 'fiction', 'romance', 'spirituality', 'contemporary']"
1416,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
5580,"['comics', 'graphic-novels', 'fiction']"
2625,"['christian', 'fiction', 'religion', 'fantasy']"
2331,"['romance', 'contemporary', 'young-adult', 'fiction', 'chick-lit']"
319,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']"
2205,"['nonfiction', 'history', 'science', 'philosophy', 'psychology']"
1203,"['young-adult', 'contemporary', 'romance', 'fiction']"
142,"['historical-fiction', 'fiction', 'fantasy', 'classics']"
1352,"['manga', 'fantasy', 'graphic-novels', 'comics', 'young-adult', 'fiction', 'historical-fiction', 'horror', 'paranormal']"
1636,"['fantasy', 'paranormal', 'romance', 'fiction']"
762,"['history', 'nonfiction', 'classics', 'biography']"
157,"['classics', 'fiction', 'poetry', 'fantasy', 'young-adult']"
1577,"['nonfiction', 'science', 'philosophy', 'psychology', 'memoir']"
184,"['fiction', 'classics', 'fantasy', 'young-adult']"
1274,"['classics', 'poetry', 'fiction', 'fantasy']"
739,"['horror', 'fiction', 'thriller', 'mystery', 'fantasy', 'classics', 'suspense']"
740,"['classics', 'historical-fiction', 'fiction', 'young-adult']"
384,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
1836,"['fiction', 'fantasy']"
5344,"['psychology', 'self-help', 'nonfiction', 'science', 'spirituality', 'philosophy', 'business']"
3463,"['fantasy', 'paranormal', 'romance']"
66,"['classics', 'historical-fiction', 'fiction', 'romance']"
493,"['christian', 'religion', 'nonfiction', 'classics', 'philosophy', 'spirituality', 'fiction', 'self-help']"
463,"['historical-fiction', 'romance', 'fantasy', 'fiction']"
80,"['classics', 'fiction', 'fantasy', 'young-adult', 'philosophy']"
779,"['fiction', 'historical-fiction']"
5074,"['manga', 'horror', 'graphic-novels', 'fantasy', 'comics', 'fiction', 'paranormal', 'young-adult']"
4778,"['christian', 'religion', 'nonfiction', 'classics', 'spirituality', 'history']"
8110,"['romance', 'contemporary', 'chick-lit', 'suspense']"
333,"['fiction', 'contemporary', 'psychology']"
786,"['poetry', 'fiction', 'classics', 'young-adult']"
1169,"['young-adult', 'paranormal', 'romance', 'fantasy', 'science-fiction', 'fiction']"
1337,"['fantasy', 'fiction', 'science-fiction']"
3926,"['paranormal', 'romance', 'fantasy']"
592,"['classics', 'fiction', 'fantasy', 'historical-fiction']"
296,"['fiction', 'classics']"
960,"['fantasy', 'fiction']"
3396,"['graphic-novels', 'comics', 'fantasy', 'fiction', 'horror']"
1556,"['young-adult', 'paranormal', 'romance', 'fantasy', 'science-fiction']"
4224,"['romance', 'contemporary', 'suspense', 'chick-lit', 'fiction']"
581,"['young-adult', 'fantasy', 'science-fiction', 'romance', 'fiction']"
4550,"['fantasy', 'fiction', 'young-adult']"
1464,"['graphic-novels', 'nonfiction', 'comics', 'memoir', 'biography', 'history']"
636,"['fantasy', 'young-adult', 'romance', 'fiction', 'paranormal']"
295,"['fiction', 'historical-fiction', 'science-fiction', 'fantasy', 'horror', 'thriller', 'mystery']"
3358,"['science-fiction', 'fiction', 'fantasy', 'classics']"
1558,"['young-adult', 'fiction', 'contemporary']"
1338,"['religion', 'nonfiction', 'spirituality', 'history', 'classics', 'christian']"
2176,"['classics', 'fiction', 'poetry', 'fantasy']"
6920,"['comics', 'fiction', 'graphic-novels']"
852,"['nonfiction', 'memoir', 'biography', 'philosophy', 'science']"
1545,"['classics', 'fiction', 'fantasy', 'young-adult']"
3607,"['young-adult', 'paranormal', 'romance', 'fantasy', 'science-fiction']"
1235,"['science', 'nonfiction', 'history', 'philosophy', 'classics']"
3086,"['graphic-novels', 'comics', 'fantasy', 'fiction', 'horror']"
1336,"['paranormal', 'romance', 'fantasy', 'fiction']"
610,"['nonfiction', 'history', 'sports', 'biography', 'memoir']"
4921,"['fantasy', 'paranormal', 'romance', 'fiction']"
502,"['graphic-novels', 'comics', 'horror', 'fiction', 'fantasy']"
691,"['nonfiction', 'memoir', 'biography', 'horror']"
112,"['romance', 'fiction', 'contemporary', 'chick-lit', 'young-adult', 'books']"
1499,"['fiction', 'contemporary', 'chick-lit', 'crime']"
2545,"['paranormal', 'romance', 'fantasy', 'fiction']"
1109,"['nonfiction', 'romance', 'paranormal']"
894,"['fantasy', 'fiction']"
3819,"['fantasy', 'paranormal', 'fiction']"
6,"['young-adult', 'romance', 'fiction', 'contemporary']"
485,"['classics', 'fiction', 'philosophy', 'religion']"
2889,"['fantasy', 'fiction', 'science-fiction']"
11,"['fiction', 'historical-fiction', 'contemporary', 'classics']"
4107,"['fantasy', 'fiction', 'young-adult', 'art']"
1603,"['classics', 'fiction', 'young-adult']"
2997,"['young-adult', 'fantasy', 'paranormal', 'romance']"
291,"['fiction', 'historical-fiction']"
7203,"['romance', 'contemporary', 'chick-lit', 'suspense']"
792,"['classics', 'fantasy', 'fiction']"
545,"['classics', 'fiction', 'fantasy', 'young-adult']"
2937,"['graphic-novels', 'comics', 'fantasy', 'fiction', 'horror']"
1721,"['christian', 'nonfiction', 'religion', 'spirituality', 'classics']"
2840,"['historical-fiction', 'fiction']"
626,"['fiction', 'fantasy', 'classics']"
842,"['fantasy', 'young-adult', 'romance', 'fiction', 'paranormal']"
1110,"['romance', 'contemporary', 'young-adult', 'fiction', 'music', 'chick-lit']"
2956,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
1471,"['fiction', 'contemporary', 'fantasy', 'young-adult']"
4868,"['religion', 'nonfiction', 'spirituality', 'biography', 'history', 'christian']"
4,"['classics', 'fiction', 'historical-fiction', 'young-adult']"
1304,"['fantasy', 'fiction', 'mystery', 'paranormal']"
644,"['romance', 'young-adult', 'contemporary', 'fiction', 'chick-lit', 'poetry']"
817,"['fantasy', 'young-adult', 'fiction', 'romance', 'classics']"
7,"['fantasy', 'classics', 'fiction', 'young-adult']"
7254,"['comics', 'fiction', 'graphic-novels']"
766,"['graphic-novels', 'comics', 'fantasy', 'fiction', 'horror']"
713,"['young-adult', 'romance', 'science-fiction', 'fantasy', 'fiction']"
1889,"['fantasy', 'paranormal', 'romance', 'fiction']"
5405,"['fantasy', 'young-adult', 'fiction']"
4708,"['fantasy', 'fiction']"
1158,"['historical-fiction', 'fiction', 'classics']"
2078,"['classics', 'fiction', 'fantasy']"
2441,"['nonfiction', 'history', 'biography', 'travel', 'memoir', 'contemporary']"
746,"['fantasy', 'fiction', 'mystery', 'crime', 'young-adult', 'science-fiction', 'books', 'thriller']"
1946,"['paranormal', 'fantasy', 'romance']"
627,"['fiction', 'fantasy', 'classics']"
3852,"['young-adult', 'fantasy', 'paranormal', 'romance']"
760,"['science-fiction', 'fiction', 'young-adult', 'fantasy']"
3124,"['fiction', 'classics', 'fantasy', 'philosophy']"
2272,"['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']"
514,"['classics', 'mystery', 'fiction', 'crime']"
339,"['classics', 'fiction', 'poetry', 'young-adult']"
1626,"['fantasy', 'young-adult', 'fiction']"
4599,"['fantasy', 'young-adult', 'romance', 'fiction']"
1228,"['fantasy', 'fiction', 'mystery', 'paranormal']"
2043,"['fantasy', 'fiction', 'mystery']"
1717,"['classics', 'poetry', 'fiction', 'horror', 'mystery', 'fantasy']"
4911,"['fantasy', 'young-adult', 'fiction']"
3775,"['fantasy', 'fiction', 'science-fiction']"
962,"['romance', 'young-adult', 'contemporary', 'fiction', 'chick-lit', 'poetry', 'books']"
1130,"['romance', 'contemporary', 'fiction', 'chick-lit', 'young-adult']"
549,"['fiction', 'classics', 'fantasy']"
89,"['fantasy', 'fiction', 'classics', 'romance', 'young-adult']"
2275,"['paranormal', 'romance', 'fantasy', 'fiction']"
1377,"['mystery', 'fiction', 'chick-lit', 'crime']"
2237,"['paranormal', 'romance', 'fantasy', 'fiction']"
765,"['nonfiction', 'biography', 'history', 'memoir', 'classics']"
870,"['history', 'nonfiction', 'biography']"
6118,"['fantasy', 'paranormal', 'romance', 'fiction']"
5137,"['romance', 'contemporary', 'suspense', 'mystery', 'chick-lit', 'fiction']"
10,"['classics', 'fiction', 'romance', 'historical-fiction']"
12,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
2930,"['fantasy', 'paranormal', 'fiction', 'romance']"
2299,"['fantasy', 'fiction']"
2648,"['classics', 'fiction', 'fantasy', 'young-adult']"
1291,"['romance', 'paranormal', 'fantasy', 'fiction']"
1653,"['fantasy', 'paranormal', 'romance', 'fiction']"
1734,"['nonfiction', 'history', 'biography', 'travel']"
3282,"['fantasy', 'graphic-novels', 'comics', 'fiction', 'manga', 'historical-fiction', 'science-fiction']"
3534,"['fantasy', 'fiction']"
2493,"['fantasy', 'fiction']"
3732,"['romance', 'contemporary', 'chick-lit', 'fiction']"
3341,"['fantasy', 'fiction']"
4410,"['fantasy', 'fiction', 'art', 'classics', 'nonfiction']"
6462,"['fantasy', 'young-adult', 'paranormal', 'romance']"
1127,"['fantasy', 'fiction', 'mystery', 'paranormal']"
1597,"['fiction', 'historical-fiction', 'classics', 'young-adult']"
2397,"['mystery', 'classics', 'fiction', 'crime']"
409,"['fiction', 'historical-fiction', 'classics', 'chick-lit']"
3765,"['fantasy', 'science-fiction', 'fiction', 'graphic-novels', 'classics', 'young-adult', 'romance', 'comics', 'art']"
81,"['nonfiction', 'memoir', 'biography', 'contemporary']"
1687,"['science-fiction', 'fiction', 'fantasy', 'classics']"
4522,"['graphic-novels', 'comics', 'fantasy', 'science-fiction', 'fiction', 'romance']"
283,"['fantasy', 'fiction', 'science-fiction']"
1818,"['paranormal', 'romance', 'fantasy', 'fiction']"
2585,"['manga', 'romance', 'graphic-novels', 'young-adult', 'comics']"
7321,"['romance', 'contemporary', 'chick-lit', 'suspense', 'fiction']"
4946,"['paranormal', 'romance', 'fantasy']"
2844,"['nonfiction', 'memoir', 'biography', 'history', 'religion', 'christian']"
8518,"['romance', 'contemporary', 'suspense', 'mystery', 'chick-lit']"
3953,"['nonfiction', 'history']"
6208,"['romance', 'contemporary', 'suspense', 'chick-lit', 'mystery']"
41,"['fantasy', 'young-adult', 'fiction']"
4653,"['classics', 'fiction', 'romance', 'historical-fiction']"
2064,"['fantasy', 'fiction', 'young-adult']"
4305,"['fantasy', 'paranormal', 'romance']"
2450,"['young-adult', 'romance', 'contemporary', 'fiction', 'mystery', 'chick-lit']"
329,"['nonfiction', 'memoir', 'biography', 'self-help', 'philosophy', 'psychology', 'fiction', 'spirituality', 'classics', 'business', 'contemporary', 'science', 'books']"
1747,"['christian', 'self-help', 'nonfiction', 'religion', 'romance', 'spirituality', 'fiction', 'books', 'psychology']"
6659,"['nonfiction', 'history', 'music', 'biography']"
2448,"['fantasy', 'fiction']"
1170,"['young-adult', 'fantasy', 'romance', 'science-fiction', 'paranormal', 'fiction']"
440,"['historical-fiction', 'fiction']"
219,"['fantasy', 'classics', 'fiction', 'young-adult', 'christian']"
956,"['science', 'biography', 'nonfiction', 'memoir', 'history', 'philosophy', 'fiction', 'books', 'classics', 'self-help']"
5919,"['christian', 'religion', 'nonfiction', 'spirituality', 'classics', 'history']"
4433,"['paranormal', 'romance', 'fantasy']"
3814,"['fantasy', 'paranormal', 'fiction', 'romance']"
365,"['graphic-novels', 'comics', 'fiction', 'science-fiction', 'classics', 'fantasy']"
1504,"['fantasy', 'young-adult', 'fiction']"
3798,"['fantasy', 'fiction']"
2178,"['romance', 'contemporary', 'sports']"
3472,"['fiction', 'classics']"
3571,"['paranormal', 'romance', 'fantasy']"
265,"['classics', 'fiction', 'historical-fiction', 'young-adult']"
2287,"['paranormal', 'romance', 'fantasy', 'fiction']"
3479,"['fiction', 'young-adult', 'contemporary', 'classics']"
151,"['fantasy', 'young-adult', 'fiction']"
2141,"['romance', 'young-adult', 'contemporary', 'fiction']"
393,"['fantasy', 'young-adult', 'romance', 'fiction', 'paranormal']"
133,"['classics', 'fiction', 'young-adult', 'historical-fiction']"
5754,"['fiction', 'classics', 'fantasy', 'philosophy']"
5949,"['horror', 'fiction', 'thriller', 'fantasy', 'mystery', 'crime', 'suspense']"
994,"['nonfiction', 'memoir', 'classics', 'biography', 'fiction', 'historical-fiction', 'history', 'science', 'young-adult']"
2411,"['historical-fiction', 'fiction', 'classics']"
3382,"['paranormal', 'romance', 'fantasy', 'fiction']"
3627,"['fantasy', 'young-adult', 'fiction', 'historical-fiction']"
258,"['fiction', 'historical-fiction', 'mystery', 'fantasy']"
1833,"['historical-fiction', 'fiction', 'romance', 'history', 'memoir', 'biography', 'classics', 'chick-lit', 'young-adult', 'nonfiction']"
3172,"['poetry', 'spirituality', 'classics', 'philosophy', 'religion', 'nonfiction']"
1259,"['fantasy', 'young-adult', 'fiction']"
2631,"['fantasy', 'fiction', 'young-adult']"
2092,"['young-adult', 'poetry', 'fiction', 'contemporary', 'romance']"
677,"['nonfiction', 'sports', 'science', 'memoir', 'travel', 'biography']"
1461,"['classics', 'mystery', 'fiction', 'crime', 'historical-fiction']"
2558,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']"
200,"['mystery', 'classics', 'fiction', 'crime', 'thriller', 'suspense']"
4229,"['fantasy', 'art', 'fiction', 'nonfiction', 'classics', 'books']"
3793,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
1350,"['fantasy', 'young-adult', 'fiction']"
4817,"['fantasy', 'young-adult', 'paranormal', 'romance']"
1108,"['classics', 'fantasy', 'fiction', 'young-adult']"
1945,"['fantasy', 'paranormal', 'romance', 'fiction']"
3105,"['fantasy', 'paranormal', 'romance']"
7435,"['paranormal', 'romance', 'fantasy', 'mystery']"
1408,"['nonfiction', 'history', 'biography', 'memoir']"
3859,"['paranormal', 'romance', 'fantasy']"
2407,"['fantasy', 'fiction']"
4344,"['fiction', 'art', 'fantasy']"
2266,"['christian', 'nonfiction', 'religion', 'spirituality', 'classics']"
8109,"['graphic-novels', 'comics', 'fantasy', 'fiction', 'horror']"
2460,"['manga', 'fantasy', 'graphic-novels', 'young-adult', 'comics', 'paranormal']"
3228,"['historical-fiction', 'young-adult', 'fiction', 'romance']"
3679,"['graphic-novels', 'comics', 'fiction', 'manga', 'young-adult', 'fantasy', 'romance']"
743,"['fiction', 'historical-fiction', 'fantasy', 'religion']"
454,"['fiction', 'classics', 'fantasy']"
102,"['fiction', 'classics', 'fantasy', 'young-adult']"
938,"['romance', 'contemporary', 'young-adult', 'fiction', 'chick-lit']"
